size   time(us)   avg_ob   max_ob   min_ob.
1000   38.26000   8.99   10   1
1050   38.17143   9.06   11   1
1100   38.69091   9.15   11   1
1150   39.03913   9.23   11   1
1200   39.65000   9.30   11   1
1250   38.28800   9.37   11   1
1300   38.46154   9.43   11   1
1350   38.34815   9.49   11   1
1400   38.22857   9.55   11   1
1450   38.26207   9.60   11   1
1500   39.18000   9.64   11   1
1550   39.10968   9.69   11   1
1600   39.35000   9.73   11   1
1650   38.29697   9.77   11   1
1700   37.28235   9.80   11   1
1750   38.22286   9.84   11   1
1800   37.24444   9.87   11   1
1850   37.22703   9.90   11   1
1900   37.32105   9.93   11   1
1950   37.22564   9.96   11   1
2000   37.78500   9.98   11   1
2050   37.20488   10.01   12   1
2100   37.28571   10.06   12   1
2150   37.39535   10.10   12   1
2200   37.14545   10.14   12   1
2250   37.27111   10.19   12   1
2300   37.39565   10.22   12   1
2350   37.40000   10.26   12   1
2400   37.25417   10.30   12   1
2450   37.31020   10.33   12   1
2500   37.54400   10.37   12   1
2550   37.96471   10.40   12   1
2600   37.71923   10.43   12   1
2650   37.67170   10.46   12   1
2700   37.59259   10.49   12   1
2750   37.84727   10.52   12   1
2800   37.72857   10.54   12   1
2850   37.53684   10.57   12   1
2900   37.67586   10.59   12   1
2950   37.76610   10.62   12   1
3000   38.30000   10.64   12   1
3050   37.85574   10.66   12   1
3100   37.66452   10.68   12   1
3150   37.75873   10.70   12   1
3200   37.66250   10.72   12   1
3250   37.68923   10.74   12   1
3300   37.76667   10.76   12   1
3350   37.90149   10.78   12   1
3400   37.70000   10.80   12   1
3450   37.69275   10.82   12   1
3500   37.73143   10.83   12   1
3550   37.67324   10.85   12   1
3600   38.07500   10.87   12   1
3650   37.89041   10.88   12   1
3700   37.60270   10.90   12   1
3750   37.77333   10.91   12   1
3800   37.89737   10.93   12   1
3850   37.93506   10.94   12   1
3900   37.63590   10.95   12   1
3950   37.91392   10.97   12   1
4000   37.67500   10.98   12   1
4050   37.71852   10.99   12   1
4100   37.65366   11.01   13   1
4150   37.89398   11.03   13   1
4200   37.74524   11.05   13   1
4250   37.96235   11.08   13   1
4300   38.30000   11.10   13   1
4350   37.79770   11.12   13   1
4400   37.85227   11.14   13   1
4450   37.95955   11.16   13   1
4500   38.25556   11.18   13   1
4550   39.36484   11.20   13   1
4600   38.58913   11.22   13   1
4650   38.34409   11.24   13   1
4700   39.61489   11.26   13   1
4750   37.94947   11.28   13   1
4800   37.98125   11.30   13   1
4850   38.11340   11.31   13   1
4900   38.06939   11.33   13   1
4950   37.96566   11.35   13   1
5000   38.07800   11.36   13   1
5050   38.17228   11.38   13   1
5100   38.20588   11.40   13   1
5150   37.87961   11.41   13   1
5200   40.34615   11.43   13   1
5250   39.33714   11.44   13   1
5300   38.70000   11.46   13   1
5350   39.18131   11.47   13   1
5400   38.07593   11.49   13   1
5450   38.31743   11.50   13   1
5500   38.31273   11.51   13   1
5550   38.32793   11.53   13   1
5600   38.31071   11.54   13   1
5650   38.33097   11.55   13   1
