size   time(us)   avg_ob   max_ob   min_ob.
1000   159.91000   495.96   997   1
1050   142.72381   427.01   1030   1
1100   118.89091   301.77   1095   1
1150   212.62609   663.05   1137   6
1200   143.16667   434.39   1185   1
1250   180.21600   559.49   1250   1
1300   128.06154   367.45   1248   1
1350   217.23704   698.40   1330   10
1400   119.45000   321.90   1320   1
1450   119.49655   321.45   1427   1
1500   170.67333   492.13   1496   1
1550   240.41935   772.38   1528   1
1600   154.23750   461.03   1589   1
1650   225.78788   704.71   1636   1
1700   191.75294   596.11   1698   1
1750   131.41143   382.76   1742   1
1800   228.91667   732.36   1777   1
1850   307.78378   1010.05   1837   19
1900   238.44211   768.91   1877   1
1950   354.61026   1171.83   1937   1
2000   121.28000   356.55   1923   1
2050   261.89756   872.97   2043   1
2100   207.39524   661.77   2085   1
2150   233.66512   768.50   2104   1
2200   280.94091   951.49   2188   13
2250   333.17333   1127.43   2192   1
2300   389.67391   1333.23   2298   29
2350   184.05957   571.22   2342   1
2400   399.32083   1370.17   2382   39
2450   384.80000   1319.23   2427   1
2500   223.96800   732.12   2456   1
2550   213.08627   695.20   2546   1
2600   317.52308   1073.22   2510   1
2650   221.95849   706.15   2610   1
2700   192.75926   606.58   2696   1
2750   211.96000   689.49   2747   1
2800   326.65714   1071.52   2715   13
2850   367.91579   1223.33   2754   26
2900   445.83448   1502.43   2899   19
2950   261.50508   823.52   2934   1
3000   525.03667   1766.94   2954   7
3050   224.80000   721.82   3034   1
3100   354.37742   1183.69   2985   1
3150   264.33333   835.97   3136   1
3200   220.04687   691.53   3171   1
3250   547.33538   1844.86   3105   39
3300   395.59091   1353.30   3165   1
3350   276.78806   910.30   3338   1
3400   615.92353   2149.04   3377   24
3450   372.34783   1278.81   3449   31
3500   609.79714   2129.41   3489   1
3550   342.82817   1155.89   3497   1
3600   182.39444   563.15   3596   1
3650   275.39452   902.74   3608   1
3700   607.54054   2115.03   3700   1
3750   376.29600   1284.53   3738   1
3800   557.90000   1945.06   3735   14
3850   552.33247   1924.79   3801   53
3900   488.57692   1693.09   3881   1
3950   234.72658   771.67   3906   1
4000   645.34500   2273.83   3990   20
4050   372.47654   1273.48   4031   1
4100   418.10000   1446.50   4081   1
4150   249.05060   822.26   4104   1
4200   347.26667   1170.76   4200   1
4250   530.47765   1880.60   4170   50
4300   193.76279   605.74   4215   1
4350   645.20690   2270.84   4307   39
4400   376.24318   1312.80   4368   1
4450   631.31461   2214.65   4307   1
4500   272.33778   904.44   4411   1
4550   526.83956   1776.14   4526   15
4600   573.09783   1924.13   4536   19
4650   507.22581   1694.56   4568   26
4700   308.17021   996.53   4700   1
4750   561.40000   1968.26   4726   39
4800   376.63958   1280.79   4758   1
4850   534.41031   1861.88   4791   23
4900   721.69592   2541.71   4899   41
4950   531.08889   1891.84   4942   154
5000   481.29800   1686.78   4948   1
5050   408.94455   1421.43   5044   1
5100   439.87255   1549.09   5076   1
5150   381.56699   1321.49   4993   1
5200   357.17885   1226.67   5168   1
5250   384.44381   1320.75   5220   1
5300   719.96415   2537.72   5259   1
5350   502.44299   1790.28   5314   1
5400   391.27593   1373.40   5332   1
5450   796.26422   2893.79   5412   18
5500   347.99273   1213.23   5496   1
5550   856.97117   3131.10   5463   3
5600   680.07321   2458.92   5600   1
5650   551.39646   1960.08   5530   1
5700   475.24912   1699.63   5676   1
5750   523.19478   1843.33   5663   1
5800   699.51724   2518.88   5736   151
5850   649.59316   2277.74   5844   24
5900   580.71017   1978.43   5730   1
5950   834.11261   2919.10   5950   38
6000   430.64500   1494.29   5980   1
6050   638.90744   2292.27   5958   1
6100   848.66721   3053.92   5954   42
6150   541.40163   1898.28   6119   1
6200   615.67258   2190.07   6173   1
6250   608.34560   2160.44   6232   1
6300   818.00794   2963.47   6157   1
6350   476.83307   1596.79   6336   1
6400   400.40312   1367.80   6371   1
6450   621.87907   2245.16   6425   1
6500   782.09231   2844.63   6471   161
6550   581.34809   2093.29   6543   1
6600   654.60909   2332.36   6580   1
6650   868.05113   3141.93   6637   1
6700   860.94030   3184.20   6687   7
6750   519.49778   1811.42   6638   1
6800   890.59118   3278.99   6763   4
6850   644.95912   2282.98   6809   1
6900   647.54928   2279.77   6896   1
6950   619.99281   2093.74   6939   1
7000   908.11714   3421.63   6972   1
7050   695.75745   2511.07   7022   1
7100   1187.0859   4572.10   7075   1
7150   300.04336   1003.83   7146   1
7200   937.22917   3462.58   7142   1
7250   508.24276   1780.92   7203   1
7300   787.10411   2847.76   7231   1
7350   487.81497   1752.52   7259   1
7400   1319.5405   5056.63   7370   66
7450   608.83758   2168.75   7367   1
7500   324.71733   1112.11   7441   1
7550   301.67947   1060.02   7462   1
7600   850.05132   3112.25   7537   105
7650   347.61569   1220.87   7611   1
7700   938.06753   3401.41   7681   1
7750   882.36645   3238.85   7650   1
7800   1045.41795   4026.28   7678   1
7850   743.47643   2665.27   7776   1
7900   538.25570   1848.30   7861   1
7950   483.17107   1740.79   7935   1
8000   653.77125   2364.04   7983   1
8050   1146.31553   4303.67   7997   74
8100   1098.82099   4113.03   7966   10
8150   440.67485   1581.74   8121   1
8200   1215.64634   4484.85   8145   17
8250   1315.02303   5162.15   8233   9
8300   1279.43494   4977.78   8262   1
8350   1296.26826   4930.61   8348   153
8400   971.09524   3760.80   8359   1
8450   1210.89586   4599.19   8374   33
8500   477.13294   1719.47   8451   1
8550   472.09123   1689.64   8466   1
8600   766.31279   2800.81   8593   1
8650   886.14913   3360.09   8584   1
8700   1053.19425   3951.80   8669   1
8750   1220.31086   4640.25   8727   1
8800   502.35341   1846.43   8755   1
8850   1133.74689   4357.71   8812   11
8900   616.27079   2369.17   8861   1
8950   1313.27486   5189.05   8874   110
9000   1293.90444   4854.93   8981   2
9050   1079.10829   4062.37   9045   25
9100   779.05934   2894.75   9069   1
9150   795.64590   2995.46   9126   1
9200   1250.11848   4770.91   9141   1
9250   717.62378   2677.33   9218   1
9300   1007.50430   3689.95   9294   29
9350   1190.84385   4461.03   9240   4
9400   1372.70957   5182.78   9309   4
9450   735.51323   2813.63   9387   1
9500   1022.23789   4071.28   9469   1
9550   1342.05131   5326.94   9544   1
9600   976.58021   3727.48   9594   1
9650   362.82280   1334.14   9616   1
9700   1096.00206   4258.76   9633   5
9750   533.89231   1967.17   9662   1
9800   1214.59694   4692.13   9738   1
9850   797.33401   3043.21   9835   1
9900   849.02525   3560.88   9860   1
9950   1040.56080   4021.81   9857   45
