size   time(us)   avg_ob   max_ob   min_ob.
1000   158.18140   500.50   1000   1
1500   224.63160   750.50   1500   1
2000   294.16010   1000.50   2000   1
2500   370.09296   1250.50   2500   1
3000   434.50373   1500.50   3000   1
3500   502.90846   1750.50   3500   1
4000   569.64605   2000.50   4000   1
4500   636.50071   2250.50   4500   1
5000   700.93288   2500.50   5000   1
5500   761.96531   2750.50   5500   1
6000   825.45237   3000.50   6000   1
6500   883.08702   3250.50   6500   1
7000   935.71460   3500.50   7000   1
7500   989.31781   3750.50   7500   1
8000   1043.03274   4000.50   8000   1
8500   1101.35954   4250.50   8500   1
9000   1164.53183   4500.50   9000   1
9500   1243.60727   4750.50   9500   1
