Apostador_ID   N_Ventanilla   Caballo_ID   Cotizacion   Cantidad
3 1 1 1.000000 6.469316
3 3 3 16.469316 9.190559
10 4 6 25.659876 3.414005
4 5 5 29.073881 4.357960
5 6 6 7.574037 3.195592
8 7 8 36.627430 6.358116
9 8 3 4.218174 2.562034
1 9 8 6.190114 7.180867
8 2 5 9.841143 2.235372
10 10 7 54.963818 0.530552
10 1 2 55.494370 2.796932
2 3 8 4.009311 5.315071
7 4 7 41.557808 4.883456
2 5 1 9.169492 8.843277
7 6 5 10.184345 3.294472
5 7 8 4.061014 1.149001
7 8 5 7.510842 9.587248
5 9 7 14.244423 0.452433
10 2 4 91.816261 8.195405
6 10 7 14.565287 7.199339
7 1 7 7.622117 6.324873
5 3 10 113.535881 8.234283
1 4 5 5.947246 5.214474
2 5 10 13.751433 6.324233
6 6 9 133.308868 2.656243
4 7 2 35.809204 6.946286
8 8 3 11.206458 3.444197
5 9 3 9.036087 7.687788
9 2 4 16.752214 6.724248
5 10 2 14.964569 1.966420
2 1 9 44.508545 8.402644
1 3 5 6.661731 2.502234
6 4 3 7.269918 3.455749
6 5 9 14.685822 4.677195
4 6 5 6.447696 0.524531
6 7 8 8.679520 4.193350
9 8 5 6.494215 2.041769
2 9 8 7.482478 6.631820
5 2 6 25.647001 5.144372
6 10 2 15.760301 9.814795
4 1 4 13.198938 1.173644
9 3 3 7.728369 2.017848
2 4 5 6.935224 7.662479
10 5 9 13.203597 2.990994
5 6 3 7.628794 6.846669
2 7 4 13.503198 2.523977
6 8 8 7.331170 1.171917
4 9 10 15.072777 2.377737
9 2 7 11.617470 6.593871
1 10 2 10.809668 2.015723
5 1 2 10.003904 5.842631
7 3 3 6.942164 4.399470
2 4 5 6.656322 5.920522
10 5 3 6.444142 5.620263
3 6 6 20.956635 9.822923
7 7 3 5.994716 1.184746
4 8 5 6.276078 6.652019
4 9 6 12.620868 9.668938
10 2 9 14.934240 7.923293
2 10 5 5.932809 8.139329
3 1 7 11.512953 2.283469
6 3 3 6.601128 8.758356
10 4 7 10.991986 0.066223
2 5 3 5.728910 9.662819
7 6 9 11.986907 2.225338
9 7 9 11.168530 8.278313
4 8 10 19.064520 2.015092
10 9 7 11.725596 5.477446
8 2 6 10.836707 5.297193
2 10 4 18.082830 6.618705
9 1 2 11.893396 9.256779
2 3 5 6.267482 4.385058
9 4 3 5.696393 4.021389
1 5 3 5.426020 5.828253
10 6 3 5.085165 2.796643
8 7 5 6.102930 1.773229
8 8 4 14.842818 5.281988
4 9 6 10.513214 4.494836
10 2 1 24.471441 1.789510
3 10 6 9.538598 3.759882
5 1 3 5.157475 2.421674
9 3 2 10.271650 3.617518
2 4 7 11.800106 1.746884
5 5 1 22.788961 2.730294
8 6 7 11.358726 2.188011
3 7 9 10.941087 9.942957
6 8 1 20.515612 7.179878
1 9 6 9.488882 0.550793
2 2 1 15.533192 9.724640
8 10 3 5.498803 2.624711
10 1 6 9.654448 7.390335
2 3 9 9.457139 6.304982
8 4 2 10.661024 8.127007
8 5 4 14.889660 2.922633
4 6 7 12.187263 0.354680
3 7 9 8.686620 2.648486
4 8 9 8.329780 8.082362
10 9 6 8.993491 8.671403
10 2 7 12.581991 9.893051
2 10 7 10.243326 7.044502
8 1 9 7.813404 6.744459
7 3 7 9.201722 8.249701
9 4 3 6.272547 5.945289
2 5 1 14.040586 3.852608
9 6 4 15.496274 7.799913
7 7 4 12.819468 0.583848
6 8 7 8.432066 3.977642
2 9 5 8.363557 3.263283
8 2 4 12.827412 2.935606
4 10 4 12.068656 4.784122
3 1 1 13.393889 2.568712
9 3 7 8.197538 8.711053
1 4 6 9.106278 6.828659
2 5 2 11.193230 8.668418
5 6 5 8.516243 6.960623
9 7 3 6.603253 3.893286
5 8 4 11.765494 9.409363
10 9 8 18.305548 0.688733
3 2 1 13.695618 8.282188
6 10 4 10.225541 1.914370
6 1 9 8.555847 4.209988
3 3 1 11.807320 2.559378
8 4 10 31.162819 3.267521
9 5 7 8.119390 4.461424
4 6 6 9.091262 9.063721
7 7 2 10.632910 7.429090
10 8 6 8.249556 2.206019
7 9 6 8.050910 1.476869
8 2 6 7.923897 3.913044
1 10 5 8.654721 9.407595
9 1 7 8.140677 5.005023
10 3 1 12.144960 7.449789
10 4 3 7.234442 4.991593
6 5 7 7.871162 3.575724
1 6 1 10.952634 7.054790
3 7 10 29.762104 3.228705
9 8 8 20.608320 2.681315
4 9 10 26.352224 9.390265
10 2 1 10.162563 6.618836
4 10 5 8.395467 7.302635
1 1 5 7.809872 6.225782
1 3 10 20.271587 5.956993
4 4 7 8.136549 5.207315
10 5 2 10.931190 0.805412
1 6 6 8.596879 1.419700
1 7 3 7.522665 4.010803
8 8 6 8.519295 2.472006
7 9 9 9.809291 6.212672
8 2 8 20.692076 5.921534
3 10 5 7.704332 9.880779
7 1 2 11.252170 0.004779
6 3 8 18.168608 0.503520
3 4 4 12.427870 3.936381
4 5 9 9.390308 3.570884
9 6 10 18.576283 3.868452
2 7 2 11.425401 3.892806
7 8 6 8.733171 1.073037
5 9 8 18.348461 7.615163
3 2 4 12.048502 4.996054
