Nombre_Apostador  Cantidad_Total_Apostada  Ganancias_Totales  Beneficios_Netos
Apostador-1 64.196663 77.268532 13.071869
Apostador-2 124.928062 286.235931 161.307861
Apostador-3 84.565849 184.523438 99.957588
Apostador-4 85.967026 0.000000 -85.967026
Apostador-5 69.656303 62.220566 -7.435738
Apostador-6 63.288067 147.299591 84.011520
Apostador-7 56.929592 0.000000 -56.929592
Apostador-8 65.506630 0.000000 -65.506630
Apostador-9 87.479523 0.000000 -87.479523
Apostador-10 90.316444 201.533630 111.217186
