procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 114672  83420   3064  21488   17   20    35    26  196  270  7  2 91  0
 0  0 114348  82848   3064  21472  740    0   740     0  216  264  1  1 97  2
 0  0 114348  82912   3064  21532    0    0     0     0   49   89  0  0 100  0
 0  0 114348  82912   3064  21532    0    0     0     0   52   86  0  0 100  0
 0  0 114348  82788   3064  21556    0    0     0     0  898 1101  9  7 84  0
 1  0 114348  82780   3076  21616    0    0     0    72 1674 2138  7 10 83  0
 2  0 114348  82488   3076  21668    0    0     0     0 1231 1501 13 13 74  0
 1  0 114348  81984   3076  21724    0    0     0     0 1657 1934 19 14 67  0
 0  0 114348  80812   3076  21736    0    0     0     0  685  715  9 10 81  0
 2  0 114348  79136   3076  21748    0    0     0     0  653  434 24  5 72  0
 1  1 114348  79392   3084  21748    0    0    20    12  825  321 46  6 48  0
 2  0 114324  38900   3156  39408   28    0 17600     0 3468 4076 68 21  5  6
 2  0 114312  26732   3164  44876    0    0  5428     0 2196 2464 79 19  2  1
 2  0 114304  28880   3164  44900    0    0    24     0 1266 1173 86 13  1  0
 2  0 114304  29168   3164  44900    0    0     0     0  980  933 87 13  0  0
 2  0 114300  29248   3164  44904    0    0     0     0  946  778 85 15  1  0
 2  0 114292  29296   3172  44904    0    0     0   100  940  771 83 15  1  0
 2  0 114276  29296   3172  44924   36    0    56     0  909  828 85 14  1  0
 2  0 114252  28436   3176  44996   84    0   116     0 1218 1120 85 14  1  0
 6  0 114252  27756   3176  45064    0    0     0     0 1644 1592 79 18  3  0
 1  0 113744  25716   3176  45176  532    0   532     0 1637 2370 69  8 23  0
 1  0 113700  25036   3176  45140   56    0    56     0 1140 1657 40  4 56  0
 2  0 113680  25108   3176  45148   36    0    36     0 1161 1185 76 16  8  0
 2  0 113668  25000   3184  45156   32    0    32    20 1039 1046 82 14  4  0
 2  0 113648  24456   3184  45156   20    0    20     0 1190 1039 85 15  1  0
 1  0 113644  24312   3184  45160    4    0     4     0  988  925 81 17  2  0
 2  0 113632  24232   3184  45160   24    0    24     0  903  804 85 15  0  0
 2  0 113608  24168   3184  45196    0    0     0     0 1400 1431 83 15  2  0
 2  0 113424  21796   3760  45916  352    0  1568    84 2400 2087 77 18  5  0
 2  0 113412  21272   3760  46004    4    0     4     0 2580 3911 66 12 21  0
 0  0 113388  21272   3760  46004   20    0    20     0  846  998 35  3 62  0
 4  0 113388  21012   3760  46012    0    0     0     0 1137 1102 65 14 20  0
 2  0 113172  20384   3760  46020  200    0   200     0  968 1003 80 15  4  0
 1  0 113172  20264   3768  46012    0    0     0   136  846  597 83 14  3  0
 2  0 113128  20124   3768  46020   48    0    48     0 1113 1065 84 15  1  0
 2  0 113128  20092   3768  46024    0    0     0     0  865  663 88 12  1  0
 2  0 113064  19780   3768  46024  168    0   168     0  820  636 83 16  1  0
 2  0 113028  19280   3768  46056  128    0   128     0 1460 1249 82 15  3  0
 2  0 112916  19016   3768  46076   84    0    84   840 1240 1146 78 15  8  0
 2  0 112892  18876   3776  46084   56    0    56    36 1254 1173 84 14  3  0
 2  0 112836  18884   3776  46084   32    0    32     0 1197 1339 85 14  2  0
 2  0 112832  18892   3776  46084    0    0     0     0 1261 1463 83 15  1  0
 2  0 112820  18908   3776  46088   12    0    12     0  815  575 83 12  6  0
 2  0 112808  18908   3776  46088    0    0     0    36 1489 1745 88 12  1  0
 2  0 112768  18916   3784  46088   32    0    32    48 1143  734 83 16  1  0
 2  0 112736  18948   3784  46124  132    0   132     0 1553 1188 72 17 12  0
 1  0 112736  17936   3784  46228    0    0     0     0 2982 3952 71 17 13  0
 1  0 112644  15636   3784  46236   52    0    52     0 1076 1589 51  4 45  0
 2  0 112628  15016   3784  46240    4    0     4     0 1055 1365 74 14 12  0
 1  0 112544  14900   3784  46252   88    0    88     0 1177 1442 83 14  2  0
 2  0 112376  14524   3792  46268  232    0   232    28  915  799 86 12  2  0
 2  0 112372  14320   3792  46272    0    0     0     0  860  783 85 15  1  0
 2  0 112372  14256   3792  46280    0    0     0     0  842  763 88 11  1  0
 2  0 112340  14036   3792  46280   40    0    40     4 1058 1020 87 13  1  0
 2  0 112328  14068   3792  46288   28    0    28     0 1026  888 86 14  1  0
 2  0 112328  14004   3800  46296    0    0     0    32 1174 1114 80 17  3  0
 3  0 112328  13384   3800  46316    0    0     0     0 1024  807 82 16  2  0
 3  0 112284  13228   3800  46344   96    0    96     0 1352 1065 83 14  3  0
 2  0 112276  13104   3800  46348   12    0    12     0  906  704 86 12  1  0
 2  0 112268  12736   3800  46400   12    0    12     0 1396 1312 82 14  4  0
 1  0 112200  10148   3808  46504  120    0   120    28 1750 2539 62  7 31  0
 2  0 112080  10108   3808  46544  180    0   180     0 1139 1554 69  8 23  0
 2  0 112036  10132   3808  46572  100    0   100     0 1406 1677 87 11  2  0
 2  0 111896   9884   3808  46572  208    0   208     4 1006  860 85 13  1  0
 2  0 111896   9884   3808  46572    0    0     0     0 1063  950 85 14  1  0
 2  0 111580   7816   3816  46648  404    0   404    32 1856 1700 79 15  6  1
 2  0 111696   8616   3036  46532   20  140    20   144 2221 2474 72 16 13  0
 2  0 111644   8860   3036  46536   96    0    96     0  899  767 85 13  2  0
 2  0 111644   9484   3036  46548    0    0     0   672 1331 1253 85 15  1  0
 2  0 111624   9532   3036  46556    0    0     0     0 1240 1247 86 12  2  0
 2  0 111608   9596   3044  46552   64    0    64    40 1059 1121 83 16  2  0
 2  0 111608   9536   3044  46560    0    0     0     0 1081 1071 80 15  6  0
 2  0 111556   9536   3044  46564   64    0    64     0  895  735 86 12  2  0
 2  0 111540   9568   3044  46564   20    0    20     4  899  689 85 14  2  0
 2  0 111512   9464   3044  46616    0    0     0     0 1626 1363 81 17  1  0
 1  0 112384   8480   2832  45640  424 1244   424  1244 2197 4290 55  7 36  2
 2  0 112168   8652   2832  45744  248    0   324     0 1435 2293 68 10 22  0
 1  0 112100   8944   2840  45748   44    0    44    56  858  655 81 15  4  0
 2  0 112028   8724   2840  45752   64    0    64     0  880  679 86 11  3  0
 2  0 111884   8628   2840  45760  152    0   152     0  888  699 84 14  2  0
 2  0 111776   8344   2840  45768  156    0   156     0 1053  750 82 16  2  0
 2  0 111768   8312   2840  45768    0    0     0     0 1044 1138 87 12  0  0
 2  0 111756   7472   2848  45764    0    0     0    28 1246  984 84 14  2  0
 2  0 112132   8340   2700  45092   32  404   168   404 1630 1065 81 16  1  2
 2  0 112108   8340   2700  45100   32    0    32     0 1103  768 84 14  1  0
 2  0 112076   8340   2700  45100   64    0    64     0  908  796 85 15  1  0
 3  0 112076   8024   2700  45132    0    0     0     0 1573 1288 84 15  1  0
 2  0 112320   8304   2628  44880  228  404   292   404 2644 2376 76 17  7  1
 2  0 112312   9168   2636  44888   12    0    12    28 1127 1124 83 16  2  0
 2  0 112272   9200   2636  44892    8    0     8     0  950  704 84 15  2  0
 2  0 112272   9200   2636  44892    0    0     0     0 1249 1112 85 15  1  0
 2  0 112272   9168   2636  44908    0    0     0     0 1225 1058 86 14  0  0
 1  0 111888   7836   2636  43184  648    0   784     0 1684 3000 78 14  8  0
 2  0 112576   8268   1840  42416  664 1332   664  1416 2308 4249 54  8 36  1
 2  0 112240   8072   1840  42452  452    0   452     0 1105 1433 50  4 45  0
 2  0 112132   8140   1840  42452  192    0   192     0  959  940 83 16  1  0
 3  0 112056   7984   1840  42456   80    0    80     0 1028  979 86 14  1  0
 2  0 112032   8008   1840  42460    0    0     0     0  979  964 84 15  2  0
 2  0 112004   7852   1848  42452   92    0    92    28  993  956 84 14  1  0
 2  0 111956   7852   1848  42460   36    0    36     0 1174 1181 87 12  1  0
 4  0 111812   7560   1848  42516  268    0   268     0 1704 1856 75 15 10  0
 1  0 112704   9008   1520  41464  624 1180   748  1180 3096 3921 68 14 18  1
 2  0 112356   8224   1520  41552  540    0   628     0 1089 1531 50  3 47  0
 1  0 112680   8168   1520  40520  540  736   540   804  843  636 45  6 49  0
 2  0 112620   7848   1528  40532  108    0   120    36 1151 1110 79 17  4  0
 2  0 113900   8372   1384  39956  216 1344   216  1344 1639 1019 83 15  2  0
 2  0 113860   8152   1384  40008  108    0   108     0  874  735 80 15  6  0
 2  0 115584   9080   1380  39872  204 1852   204  1852 1919  904 83 15  3  0
 2  0 117052  10000   1420  39644  248 1560   296  1568 2889 2063 74 21  4  0
 2  0 116860  10452   1440  39656  268    0   288     0 1157  969 83 15  2  1
 2  0 116856  10596   1448  39664    0    0     0    28 1364 1128 86 14  1  0
 2  0 116836  10628   1452  39676   76    0    80     0 1179  965 85 14  1  0
 2  0 116736  10504   1452  39752  216    0   288     0 1046  976 83 16  1  0
 2  0 116660  10380   1452  39752   64    0    64     0 1090 1077 84 14  1  0
 1  0 116376   9296   1452  39848  428    0   444     0 2518 3214 71 16 13  0
 1  0 117416   8464   1420  39688  564 1336   680  1336 1622 2383 50  5 45  0
 2  0 117240   8480   1428  39684  252    0   252    24  943  994 76 10 13  0
 2  0 117140   7888   1428  39688  100    0   100     0 1015  709 81 17  3  0
 2  0 117100   7888   1428  39688   64    0    64     4  886  646 86 13  1  0
 2  0 117008   7764   1428  39736   44    0    44     0  874  736 84 15  1  0
 2  0 117008   7764   1428  39688    0    0     0     0  912  828 85 14  1  0
 2  0 116952   7764   1436  39680   32    0    32    32  832  717 85 15  1  0
 2  0 116916   7700   1444  39692   80    0    88     0 1078 1349 83 15  2  0
 2  0 116912   7452   1444  39696   32    0    32   576  905  661 85 14  2  0
 2  0 116836   7452   1444  39696  128    0   128     0  964  928 84 15  1  0
 2  0 117724   8412   1444  39060  144  952   144   952 1093  663 85 15  1  0
 2  0 117712   8288   1444  39060    8    0     8     0  876  711 86 13  2  0
 2  0 118896   8372   1436  39052  832 1604   912  1632 2856 4345 76 13 11  1
 1  0 118544   8648   1436  39088  432    0   432     0 1274 2685 54  3 43  0
 4  0 118044   7336   1440  39056  764   40   768    40 1269 1940 47  4 49  0
 0  0 119628   7972   1432  39032  360 1800   500  1800 1222 1437 15  9 71  5
 2  0 121288   8588   1432  38472   88 1724    88  1724 1905  957 53  9 35  2
 2  0 121280   8836   1440  38468   32    0    32    32 1009  897 82 17  2  0
 3  0 121244   8696   1440  38540  116    0   116     8 2114 1932 78 17  6  0
 2  0 121096   9160   1440  38632  148    0   148     0 2329 2026 78 14  8  0
 2  0 121088   8980   1440  38864   12    0   244     0 1032  727 85 14  1  0
 2  0 120984   9016   1440  38888  152    0   152     0 1797 2345 78 13  9  0
 1  0 120792   8452   1440  38968  312    0   312     0 1861 3541 34  7 58  0
 1  0 120460   8012   1448  38980  348    0   348    76  917  763 50 13 38  0
 1  0 120436   7700   1448  38980    0    0     0     0  968  607 83 16  1  0
 2  0 121584   8652   1444  38920  144 1224   312  1224 4942 1064 81 17  2  1
 2  0 121484   8636   1444  38948   64    0    64     0 1637 1144 82 16  3  0
 2  0 121252   8248   1444  39120  248    0   380     0 1519 1198 78 14  8  0
 2  0 121236   7536   1452  39176   32    0    32    28 1465 1356 82 16  1  0
 3  0 122604   8368   1448  39212 1024 1936  1060  1936 2042 2391 44  8 48  1
 2  0 122584   8816   1448  39232    0    0     0     0  972  645 53 10 37  0
 1  0 122488   8784   1448  39232  116    0   116     0  933  766 84 15  1  0
 2  0 122028   8132   1448  39264  712    0   712     0 1431 1078 79 14  7  1
 2  0 121848   7696   1456  39268  204    0   204    52 1304 1257 83 14  3  0
 2  0 123536   8640   1456  39296  260 1848   260  1848 2455 1972 79 19  3  0
 1  0 123308   8052   1456  39404  352    0   352     0 2365 2159 75 15  9  0
 3  0 123248   7744   1456  39424   76    0    76     0 1350 1248 80 15  5  0
 2  0 123212   7524   1456  39448    0    0     0     0 1105 1152 84 13  3  0
 2  0 123208   7520   1456  39464    0    0     0  1008 1540 1368 79 19  1  0
 2  0 123116   7616   1464  39480  132    0   132    44  979  803 84 15  2  0
 4  1 124736   8252   1464  39444  352 1784   352  1784 3245 2030 82 16  1  1
 2  0 125060   8780   1464  39484  864  736   864   972 2331 2047 58  8 33  0
 2  0 124908   8588   1464  39496  224    0   224     0 1143 1135 83 14  4  0
 3  0 124788   8464   1464  39508   80    0    80     0 1432 1001 80 14  6  0
 2  0 126576   8004   1460  39516  160 1880   168  1880 3303 2703 69 17 15  0
 3  0 126544   9252   1468  39520   68    0    68    56 1048  868 79 18  4  0
 2  0 126360   9308   1468  39524  224    0   224     0  980 1044 82 15  3  0
 3  0 125996   8288   1468  39900  532    0   532     0 1593 4510 83 13  4  0
 2  0 125996   8324   1468  39880    0    0     0     0  919  876 86 13  1  0
 2  0 125980   8548   1468  39884   52    0    52     0  976  998 84 15  1  0
 2  0 125972   8612   1476  39884   28    0    28    44 1068  944 84 15  1  0
 2  0 125948   7824   1476  39868   64    0    64     0 1549 1852 81 14  6  0
 2  0 131664   9708   1468  39124  468 5928   536  5928 1718 1653 56  9 32  3
 2  0 131552   9144   1468  39144  256    0   256     0 1240  973 83 16  1  0
 2  0 131548   9020   1468  39172    0    0     0     0 1645 1395 78 20  1  0
 2  0 131548   9020   1476  39164    0    0     0    28 1024  921 84 16  1  0
 2  0 131544   9020   1476  39172    0    0     0     0 1049  811 84 15  1  0
 1  0 133732  11876   1464  38928  464 2388   464  2388 2402 3517 71 15 14  0
 2  0 134360  16256   1460  38772  552 1004   552  1004 1846 1666 52  7 41  0
 2  0 134260  14416   1460  38784  176    0   176     0 1094  797 79 15  6  0
 2  0 134240  14352   1460  38784    0    0     0     0 1010  576 84 16  1  0
 3  0 133996  13992   1460  38760  392    0   392     0 1002  805 84 13  2  0
 2  0 133776  13260   1468  38904  504    0   620    32  961  762 84 15  1  0
 2  0 133484  11796   1468  38988  632    0   632     0 2264 2853 79 16  5  0
 2  0 134184  11836   1468  39024  724  992   724   992 1886 1723 57  9 34  0
 2  0 134124  12688   1468  39036   96    0    96     0  948  506 49  9 41  0
 2  0 134092  12784   1468  39036  100    0   100     0  973  761 85 13  2  0
 3  0 133980  12332   1468  39052  248    0   248     0 1297 1165 83 15  2  1
 3  0 133964  11984   1476  39112    0    0     0    20 1674 1734 83 15  3  0
 1  0 133792  10708   1476  39232  324    0   324     0 2324 3271 64 15 20  0
 1  0 133736  11380   1476  39248   72    0    72     0  768  868 16  5 79  0
 3  0 133736  11716   1476  39252    0    0     0   216  943  743 82 18  1  0
 3  0 133708  11240   1476  39268   64    0    64     0 1148  966 82 17  2  0
 2  0 133692  11052   1484  39280   64    0    64    32 1162  883 81 18  1  0
 2  0 133644  10988   1484  39288  128    0   128     0 1220  918 84 14  2  0
 2  0 133640  10764   1484  39332   32    0    32     0 1578 1349 79 18  4  0
 3  0 133632  10648   1484  39348   32    0    32    40 1325 1043 82 18  0  0
 2  0 133368   9960   1484  39508  580    0   580     0 2631 3126 77 13 10  0
 2  0 133296  10060   1492  39468   24    0    24    40  960  864 82 13  6  0
 2  0 133296   9936   1492  39476    0    0     0     0 1139  797 85 14  1  0
 2  0 133296   9936   1492  39476    0    0     0     0 1107  581 83 17  1  0
 4  0 133276   9904   1492  39476    0    0     0  1216 1025  707 78 14  8  0
 2  0 133204   9968   1492  39532  220    0   220     0 1477 1360 79 16  4  0
 2  0 132892   8488   1492  39664  516    0   516     0 2432 2796 76 16  8  0
 2  0 132756   8848   1492  39696  288    0   288     0 1285 1898 68  7 24  0
 2  0 132736   8500   1492  39732   32    0    32     0 1453 1266 81 16  4  0
 2  0 132736   8312   1500  39732    0    0     0    40  959  718 87 13  1  0
 2  1 133580   8384   1492  39732  100  908   100   908 2070 1679 83 15  1  0
 2  0 134640  10080   1488  39324  608 1332   608  1340 3058 1739 83 14  3  0
 1  0 134480   9672   1488  39400  236    0   236     0 1959 1970 81 16  3  0
 2  0 134452   9556   1488  39400   72    0    72     0 1132  949 83 16  1  0
 2  0 134444   9432   1488  39408    0    0     0     0 1221  890 85 13  3  0
 1  0 133856   8256   1496  39512 1072    0  1072    36 2452 3885 76 13 11  1
 1  0 135232   9812   1480  39104  324 1644   324  1644 1700 1776 31  8 61  0
 2  0 135232   9876   1480  39104    0    0     0     0  869  798 73 14 13  0
 2  0 135104   9752   1480  39136  156    0   156     0 1530 1377 85 13  3  0
 2  0 135076   9388   1480  39172   40    0    40     0 1341 1131 80 16  4  0
 1  0 135016   9168   1488  39272   64    0   148    52 1227  990 84 14  3  0
 2  0 134980   9136   1488  39272   76    0    76     0 1016  942 84 15  1  0
 2  0 134952   9104   1488  39280   16    0    16     0 1255  998 84 15  2  0
 2  0 136660   9920   1476  37952 1952 2860  2816  2932 4236 3898 75 14 10  1
 1  0 136620  11244   1476  37956   72    0    76     0  877  679 84 15  1  0
 2  0 136572  11244   1484  37964  148    0   148    68  871  802 82 12  6  0
 2  0 136520  11244   1484  37968   36    0    36     0  860  805 85 14  1  0
 2  0 136488  11316   1484  37972   40    0    40     0  930  745 88 12  0  0
 2  0 136332  11068   1484  37980  336    0   336     0 1351  900 79 18  4  0
 2  0 136228  10820   1484  37980  164    0   164     0 1071  849 84 13  2  0
 1  0 136032   8364   1484  38152  304    0   352     0 2107 4189 61  8 30  0
 1  0 135896   8924   1492  38168  312    0   312    28 1422 1769 49  6 45  0
 2  0 135880   8540   1492  38168    0    0     0     0  894  508 66 14 21  0
 3  1 136676   8064   1492  38016   96  864    96   864 2086  989 80 17  3  0
 2  0 138388   8588   1484  37920  660 2220   992  2220 2207 1676 79 17  3  0
 2  0 138336   8216   1484  38128   92    0   272     0  972  824 82 14  4  0
 2  0 138320   8216   1492  38120    8    0     8    28 1124  784 85 15  1  0
 5  0 141104  10004   1492  37620 2568 4092  3236  4664 4938 2968 75 22  3  2
 2  0 140956   9888   1492  37712  252    0   280     0 1166 1168 78 16  6  0
 2  0 140888   9720   1492  37756  172    0   172     0 1419 1210 83 16  2  0
