procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 10596916 205604 4416580    0    0    20    33  251  169  4  4 92  0  0
 3  0      0 10472988 205612 4417024    0    0     0   144 2518 9234 24  5 70  0  0
 0  0      0 10401672 205612 4417036    0    0     0     0 1640 5347 17  2 81  0  0
 0  0      0 10401420 205612 4417036    0    0     0     0 1399 2245  4  2 94  0  0
 1  0      0 10399212 205612 4417344    0    0     0     0 1881 2889  7  5 89  0  0
 0  0      0 10397184 205612 4417408    0    0     0     0 2236 3658  7  6 87  0  0
 0  0      0 10399436 205620 4417420    0    0     0    48 2361 4194  9  7 84  0  0
 3  0      0 10398324 205620 4417432    0    0     0     0 2582 4302  6  9 84  0  0
 2  0      0 10395108 205620 4417456    0    0     0     0 2862 5242  9 13 77  0  0
 1  0      0 10385576 205620 4417476    0    0     0     0 3037 5366 10 13 77  0  0
 0  0      0 10380836 205620 4417504    0    0     0     0 3024 5569  7 11 82  0  0
 4  0      0 10384296 205628 4417536    0    0     0  1952 3305 5648  4 16 80  0  0
 0  0      0 10375716 205628 4417584    0    0     0     0 3420 6323  5 13 81  0  0
 0  0      0 10368804 205628 4417748    0    0     0     0 3494 6918  5 13 82  0  0
 0  0      0 10362496 205628 4417776    0    0     0     0 3337 6654  5 13 82  0  0
 1  0      0 10354400 205628 4417884    0    0     0     0 3575 7318  6 13 81  0  0
 1  0      0 10347344 205636 4417936    0    0     0    32 3236 6431  4 13 83  0  0
 3  0      0 10325924 205636 4417976    0    0     0     0 3421 6978  6 12 81  0  0
 3  0      0 10325924 205636 4418020    0    0     0     0 3572 6951  3 15 82  0  0
 2  0      0 10324924 205636 4418052    0    0     0     0 3452 6547  4 14 81  0  0
 0  0      0 10324916 205636 4418092    0    0     0     0 3582 6951  3 15 82  0  0
 0  0      0 10324664 205644 4418168    0    0     0  1204 3756 7036  3 15 83  0  0
 1  0      0 10322152 205644 4418184    0    0     0     0 3413 6428  3 15 82  0  0
 0  0      0 10316348 205644 4418232    0    0     0     0 3352 6678  4 13 82  0  0
 3  0      0 10315844 205644 4418280    0    0     0     0 3182 6263  2 14 84  0  0
 1  0      0 10314332 205644 4418332    0    0     0     0 3388 6609  3 13 84  0  0
 2  0      0 10313072 205652 4418372    0    0     0    32 3614 7209  3 15 82  0  0
 3  0      0 10311056 205652 4418404    0    0     0     0 3229 6095  2 14 85  0  0
 5  0      0 10306268 205652 4418448    0    0     0     0 3730 7495  4 15 81  0  0
 0  0      0 10302488 205652 4418500    0    0     0     0 3297 6672  2 14 84  0  0
 5  0      0 10284596 205652 4418560    0    0     0     0 3233 6470  3 14 83  0  0
 0  0      0 10284092 205660 4418600    0    0     0  1060 3748 7341  3 14 83  0  0
 0  0      0 10284092 205660 4418640    0    0     0     0 3266 6462  3 13 84  0  0
 0  0      0 10284344 205660 4418664    0    0     0     0 3531 7190  2 12 85  0  0
 0  0      0 10284596 205660 4418696    0    0     0     0 3301 6646  3 14 82  0  0
 1  0      0 10283840 205660 4418732    0    0     0     0 3401 7005  2 13 84  0  0
 3  0      0 10281068 205668 4418744    0    0     0   644 3305 6207  4 14 82  0  0
 2  0      0 10280816 205668 4418768    0    0     0     0 3298 6721  2 14 84  0  0
 1  0      0 10280564 205668 4418780    0    0     0     0 3307 6390  2 15 83  0  0
 0  0      0 10280816 205668 4418796    0    0     0     0 3384 6576  4 15 82  0  0
 3  0      0 10279304 205668 4419428    0    0     0     0 3990 7121  2 15 83  0  0
 0  0      0 10280816 205676 4419572    0    0     0  1300 3344 6328  2 14 83  0  0
 6  0      0 10280312 205676 4419588    0    0     0     0 3472 6923  2 14 83  0  0
 0  0      0 10276532 205676 4420412    0    0     0     0 3604 6631  3 13 84  0  0
 2  0      0 10276288 205676 4420624    0    0     0     0 3389 7112  2 14 84  0  0
 1  0      0 10275020 205684 4420652    0    0     0    36 3288 6529  1 14 84  0  0
 2  0      0 10277288 205684 4420696    0    0     0     0 3286 6225  2 13 85  0  0
 1  0      0 10275272 205684 4421040    0    0     0     0 3767 7325  2 15 83  0  0
 0  0      0 10271744 205684 4421056    0    0     0     0 3303 6521  2 12 85  0  0
 1  0      0 10271744 205684 4421064    0    0     0     0 3552 7105  3 13 84  0  0
 4  0      0 10271588 205692 4421476    0    0     0    28 3490 6758  3 12 85  0  0
 2  0      0 10271440 205692 4421696    0    0     0  3020 3383 6240  2 13 85  0  0
 0  0      0 10271752 205692 4421724    0    0     0     0 3342 6817  3 13 84  0  0
 2  0      0 10272916 205692 4421744    0    0     0     0 3538 6884  3 15 82  0  0
 3  0      0 10274272 205692 4422336    0    0     0     0 3648 6805  2 16 82  0  0
 2  0      0 10276864 205700 4422984    0    0     0    56 3412 6074  3 14 83  0  0
 1  0      0 10279748 205700 4423000    0    0     0     0 3152 5424  2 14 84  0  0
 1  0      0 10282916 205700 4423008    0    0     0     0 2916 4933  2 14 84  0  0
 1  0      0 10286608 205700 4423024    0    0     0     0 2888 4799  2 13 85  0  0
 1  0      0 10289992 205700 4423024    0    0     0     0 2637 4261  2 11 87  0  0
 0  0      0 10292472 205708 4423576    0    0     0    28 2401 3971  2 12 86  0  0
 0  0      0 10294224 205708 4423716    0    0     0     0 2189 3277  1 11 88  0  0
 1  0      0 10295684 205708 4423716    0    0     0     0 1993 2994  2  9 89  0  0
 1  0      0 10296312 205708 4424428    0    0     0     0 1465 2294  1  7 92  0  0
 1  0      0 10586260 205708 4425592    0    0     0    44 2398 2894  1  7 91  0  0
 0  0      0 10586656 205716 4426352    0    0     0    68  973 1634  1  3 96  0  0
 3  0      0 10587436 205716 4426352    0    0     0     0  727 1247  1  2 97  0  0
MEDIA
NR:  69 CPU:  15.8209
