procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  95688  53456    688  36732    6   10    25    15  162  219  5  2 93  0
 0  0  95688  53456    688  36732    0    0     0     0   85   97  1  0 99  0
 0  0  95688  53472    696  36760    0    0     0    92   76  114  0  1 99  0
 0  0  95688  53472    696  36760    0    0     0     0   64   96  1  1 99  0
 1  0  95572  53224    696  36776  192    0   192     0  552  669  5  5 91  0
 5  0  95572  53224    696  36808    0    0     0     0 1122 1339 10  8 83  0
 2  0  95572  53224    696  36844    0    0     0     0 1340 1723  9  9 82  0
 0  0  95572  53224    696  36900    0    0     0     0 2269 3087 14 15 71  0
 0  0  95572  53100    696  36964    0    0     0     0 2633 3523 12 10 77  0
 1  0  95572  53100    704  37044    0    0     0    20 2962 4090 16 17 67  0
 5  0  95572  52572    844  37152  228    0   388     0 3012 4326 17 18 65  0
 3  0  95572  29468    916  39744    0    0  2528     0 3771 5494 40 16 43  0
 2  0  95368  22048    916  40112   96    0   344     0 3457 5844 46 16 38  0
 7  0  95296  20700    916  40192    0    0     0     0 2387 3711 29 26 44  0
 2  0  95296  20472    924  40352    0    0     0    80 2990 7052 38 21 41  0
 5  0  95296  20468    924  40740    0    0   260     0 3073 5835 35 21 43  0
 1  0  95296  19724    924  40848    0    0     0     0 3257 5963 35 17 48  0
 3  0  94952  19104    924  40996    0    0     0     0 3652 7238 36 16 48  0
 0  0  94952  18516    924  41100    0    0     0  1248 3523 5550 28 16 56  0
 1  0  94952  17740    932  41232    0    0     0    32 3555 7079 36 19 46  0
 1  0  94768  17336    932  41364  224    0   224     0 3259 6232 35 23 42  0
 0  0  93068  15788    932  41500 1232    0  1248     0 3620 6250 38 17 44  0
 1  0  93064  15508    932  41636    0    0     0     0 3409 7077 31 20 49  0
 1  0  92892  14796    932  41752  192    0   192     0 3619 6038 32 13 54  0
 4  0  92760  14516    940  41884   68    0    68    36 3420 6306 34 17 49  0
 3  0  92660  14144    940  42040   64    0    92     0 3663 6414 35 17 48  0
 1  0  92612  13896    940  42156   64    0    64     0 3442 5984 29 17 55  0
 3  0  92516  13168    940  42288   96    0    96     0 3484 6729 32 17 51  0
 0  0  92516  12920    940  42412    0    0     0     0 3389 6525 29 16 55  0
 0  0  92352  12208    948  42644  224    0   332    20 3471 7009 31 14 54  0
 3  0  91056  10720    948  42788 1292    0  1308     0 3565 6041 36 15 48  0
 1  0  90996  10472    948  42920   32    0    32     0 3519 6703 29 16 54  0
 5  0  90964   9868    948  43040   32    0    32     0 3637 6596 29 20 50  0
 2  0  90940   9712    948  43168   32    0    32    76 3584 6707 30 18 52  0
 0  0  91012   8596    956  43256    0   72     0   116 3774 6450 30 20 50  0
 0  0  90988   8348    956  43380   32    0    32     0 3565 6579 29 20 52  0
 3  0  90964   7884    956  43512   32    0    32     0 3414 6204 33 20 47  0
 6  0  90940   7604    956  43632    0    0     0     0 3676 6328 27 18 56  0
 6  0  91836   8232    820  43260  100  980   100   980 4235 6578 33 15 40 11
 2  0  91760   8356    848  43388   64    0    84    36 3388 6232 34 15 51  0
 0  0  92816   8444    844  42784   32 1336    36  4232 3985 6318 30 19 49  1
 2  0  92792   8568    844  42916   32    0    32     0 3531 6252 31 18 50  0
 1  0  92512   8320    844  43040  288    0   288     0 3510 6607 30 17 53  0
 1  1  92836   7700    820  42688   32  380    32   380 4180 6223 31 18 42  8
 3  0  93236   8568    796  42348   96  448    96   512 4125 6582 31 17 50  1
 0  0  93236   8476    796  42476    0    0     0     0 3421 6707 32 14 55  0
 0  0  93080   7980    796  42600  220    0   220     0 3444 6787 32 15 53  0
 4  0  92980   7700    796  42728   96    0    96     0 3277 6699 34 19 47  0
 1  0  92980   7452    796  42852    0    0     0     0 3273 6407 34 13 53  0
 0  0  93204   8072    792  42000  128  444   128   476 3720 6871 32 16 41 12
 1  0  93120   7916    792  42124   64    0    64     0 3574 6432 34 16 50  0
 1  0  93012   7700    792  42252  128    0   128     0 3451 6500 29 13 58  0
 0  1  92992   6988    788  41888   32   28    32    28 3774 6510 32 15 43 10
 0  1  93108   7112    764  40936    0  168     0  1876 5633 6449 31 16 32 20
 0  0  93420   8288    748  40272   96  444    96   500 3768 5900 30 18 42 10
 0  0  93260   7452    748  40380  196    0   196     0 3537 5782 30 18 52  0
 4  0  93236   7484    748  40468   32    0    32     0 3557 4898 26 14 60  0
 0  1  93248   8072    732  39644   64  164    64   168 4694 4569 22 18 34 26
 2  0  93276   7980    724  39632   96  104   168   104 3091 3535 23 16 56  6
 1  0  93204   7856    732  39688   96    0    96    28 2737 3494 22 15 63  0
 0  0  93180   7732    736  39728   32    0    36     0 2059 2372 22 14 64  0
 0  1  93140   7484    676  39344  128  148   128   148 1888 2115 20 14 47 18
 2  0  93216   8352    436  38900   64  136   168   136 1046 1176 18  8 58 16
 1  0  93192   8352    436  38908   32    0    32     0  664  648 16  6 78  0
 0  0  93140   7980    444  38908   96    0    96    28  329  418 10  2 88  0
 0  0  93080   7740    444  38872   96    0    96     0  225  341  8  1 91  0
MEDIA
NR:  68 CPU:  41.0758
