procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 10287724 210608 4616340    0    0    17    31  241  209  4  4 92  0  0
 5  0      0 10162952 210624 4616368    0    0     0   248 2449 9478 25  5 70  0  0
 0  0      0 9861268 210624 4616384    0    0     0     0 2962 18822 37  5 58  0  0
 1  0      0 9815144 210624 4616396    0    0     0   756 3797 6275 12  4 84  0  0
 1  0      0 9810156 210624 4616416    0    0     0     0 4965 12019 19  8 72  0  0
 0  0      0 9785208 210624 4616472    0    0     0     0 5772 13692 16 10 74  0  0
 1  0      0 9757700 210632 4616568    0    0     0    92 5471 14406 14 11 75  0  0
 0  0      0 9730468 210632 4616612    0    0     0     0 6901 17786 20 14 66  0  0
 5  0      0 9707648 210632 4616688    0    0     0     0 7211 18806 12 17 71  0  0
 6  0      0 9681044 210632 4616768    0    0     0     0 6683 17616 11 19 70  0  0
 2  0      0 9635468 210632 4616832    0    0     0     0 5591 11521 15 15 70  0  0
 2  0      0 9601664 210640 4616932    0    0     0    32 5760 11594 10 20 69  0  0
 8  0      0 9592120 210640 4617064    0    0     0     0 7334 12869  8 29 63  0  0
 2  0      0 9572568 210640 4618368    0    0     0  7692 6828 9439  6 30 64  0  0
 2  0      0 9568640 210640 4618492    0    0     0     0 4519 6682  2 28 70  0  0
 3  0      0 9533128 210640 4618720    0    0     0     0 6456 13013  4 29 67  0  0
 7  0      0 9451880 210648 4618924    0    0     0    52 7658 19338 19 31 50  0  0
 4  0      0 9427376 210648 4619052    0    0     0     0 6883 17716  8 21 71  0  0
 3  0      0 9414952 210648 4619068    0    0     0     0 8220 21055 22 27 51  0  0
 5  0      0 9390448 210648 4619160    0    0     0     0 8921 22325 27 29 44  0  0
 5  0      0 9369636 210648 4619296    0    0     0     0 7195 16611 19 26 54  0  0
 2  0      0 9268924 210656 4619328    0    0     0    32 5032 9152 14 13 73  0  0
 4  0      0 9218812 210680 4619364    0    0     0   324 6228 10946  7 28 65  0  0
 2  0      0 9218544 210680 4619456    0    0     0     0 8730 20576  4 34 62  0  0
 2  0      0 9219296 210680 4619620    0    0     0     0 7052 17012  4 25 71  0  0
12  0      0 9218916 210680 4619564    0    0     0     0 8038 21113  7 25 68  0  0
 7  0      0 9191120 210680 4619608    0    0     0     0 8025 21903  9 25 66  0  0
 2  0      0 9190440 210688 4619792    0    0     0    36 7725 20105  3 24 73  0  0
 2  0      0 9190052 210688 4619820    0    0     0  4908 9621 22806  5 28 66  0  0
 2  0      0 9188892 210688 4619932    0    0     0     0 9235 23854  9 27 64  0  0
 0  0      0 9186468 210688 4620080    0    0     0     0 7248 18338  4 20 76  0  0
 0  0      0 9114036 210688 4622900    0    0     0     0 6129 13398 16 18 65  0  0
 3  0      0 9111788 210696 4623388    0    0     0    96 5834 8440  4 23 73  0  0
 2  0      0 9109604 210696 4623464    0    0     0     0 8240 19215  4 31 65  0  0
 2  0      0 9109632 210696 4623556    0    0     0     0 8636 21964  5 29 66  0  0
 0  0      0 9109500 210696 4623636    0    0     0     0 6161 15371  2 19 79  0  0
 1  0      0 9108760 210696 4623736    0    0     0     0 5977 15532  6 19 75  0  0
 1  0      0 9106708 210704 4623784    0    0     0    32 4790 9946  4 15 81  0  0
 2  0      0 9102436 210704 4623972    0    0     0     0 5990 6913  1 25 74  0  0
 2  0      0 9100524 210704 4624220    0    0     0     0 4592 5827  1 29 71  0  0
 3  0      0 9098556 210704 4624280    0    0     0     0 5403 8502  1 30 69  0  0
 1  0      0 9098508 210704 4624336    0    0     0     0 4193 6237  0 27 73  0  0
 3  0      0 9098280 210712 4624340    0    0     0    28 3889 4898  1 27 72  0  0
 3  0      0 9095452 210712 4624392    0    0     0     0 5007 8892  5 28 68  0  0
 5  0      0 9017444 210712 4624820    0    0     0     0 7595 14955 13 28 58  0  0
 0  0      0 9016672 210712 4624972    0    0     0     0 11336 10063  1 22 76  0  0
 3  0      0 8972632 210712 4625760    0    0     0     0 9537 13614 10 25 65  0  0
 4  0      0 8971964 210720 4626056    0    0     0    32 9685 19925  4 34 62  0  0
 1  0      0 8972132 210720 4626208    0    0     0     0 6602 14640  3 27 70  0  0
 0  0      0 8972240 210720 4626272    0    0     0 21360 8756 19659  5 21 74  0  0
 3  0      0 8972800 210720 4626320    0    0     0     0 7647 18558  4 21 75  0  0
 1  0      0 8972556 210720 4626428    0    0     0     0 8751 23303  3 25 72  0  0
 3  0      0 8972764 210728 4626440    0    0     0    48 7444 18811  3 23 74  0  0
 4  0      0 8971072 210728 4626480    0    0     0     0 9386 19996 10 28 62  0  0
 2  0      0 8972044 210728 4626672    0    0     0     0 10274 25643  6 28 66  0  0
 2  0      0 8973632 210728 4626668    0    0     0     0 7699 20476  4 21 75  0  0
 3  0      0 8974636 210728 4626760    0    0     0     0 8759 21713  6 26 69  0  0
 1  0      0 8948248 210736 4626840    0    0     0    28 7618 20397 11 24 65  0  0
 1  0      0 8947520 210736 4626924    0    0     0     0 8856 22555  5 30 65  0  0
 2  0      0 8947044 210736 4627068    0    0     0     0 8187 21865  3 23 74  0  0
 2  0      0 8946484 210736 4627188    0    0     0     0 8664 22893  5 25 70  0  0
 1  0      0 8933288 210736 4627272    0    0     0     0 7070 16719 12 24 65  0  0
 3  0      0 8929688 210744 4627320    0    0     0    36 8417 22244  4 24 72  0  0
 2  0      0 8929432 210744 4627496    0    0     0     0 9156 22514  4 26 69  0  0
 1  0      0 8929912 210744 4627560    0    0     0     0 7693 21122  5 21 74  0  0
 2  0      0 8930296 210744 4627620    0    0     0     0 8373 22647  6 27 66  0  0
 2  0      0 8928876 210744 4627780    0    0     0     0 8575 21497 12 25 63  0  0
 4  0      0 8932580 210752 4627892    0    0     0    32 8265 20734  5 30 65  0  0
 7  0      0 8940532 210752 4627896    0    0     0     0 8896 22956  5 30 65  0  0
 2  0      0 8952800 210752 4628020    0    0     0     0 8369 21877  8 28 64  0  0
 9  0      0 8966968 210752 4628096    0    0     0     0 9533 22215 10 23 68  0  0
 3  0      0 8986548 210752 4628204    0    0     0     0 9810 23415  6 27 66  0  0
 2  0      0 9009576 210760 4628344    0    0     0    32 7951 21756  4 22 74  0  0
 0  0      0 9028984 210760 4628448    0    0     0     0 7751 20778  3 21 76  0  0
 0  0      0 9054384 210760 4628608    0    0     0     0 7990 20852  4 21 74  0  0
 1  0      0 9074068 210760 4628688    0    0     0     0 6995 18929  4 21 75  0  0
 3  0      0 9095296 210760 4628776    0    0     0     0 8391 18929  6 20 74  0  0
 1  0      0 9114668 210768 4628908    0    0     0    28 6701 17087  2 18 79  0  0
 3  0      0 9133676 210768 4629116    0    0     0     0 6549 15375  3 20 77  0  0
 0  0      0 9150116 210768 4629168    0    0     0     0 5444 13625  3 17 80  0  0
 1  0      0 9161432 210768 4629224    0    0     0 12832 5702 11342  3 16 80  0  0
 2  0      0 9171536 210768 4629300    0    0     0     0 4570 9957  8 15 77  0  0
 0  0      0 9180756 210776 4629328    0    0     0    44 3903 7975  3 15 82  0  0
 1  0      0 9188728 210776 4629344    0    0     0     0 3764 7342  4 15 81  0  0
 0  0      0 9194620 210776 4629368    0    0     0     0 3123 5563  2 14 84  0  0
 2  0      0 9198820 210776 4629380    0    0     0 20612 3063 5020  2 12 86  0  0
 1  0      0 9201452 210776 4629404    0    0     0     0 2344 3742  2 11 87  0  0
 0  0      0 9203772 210784 4629404    0    0     0    28 2134 3402  1 10 89  0  0
 0  0      0 9205384 210784 4631496    0    0     0     0 1971 3069  2  9 90  0  0
 1  0      0 9205736 210784 4631704    0    0     0     0 1602 2614  2  7 92  0  0
 2  0      0 9205992 210784 4631704    0    0     0     0 1637 2403  1  7 92  0  0
 2  0      0 9205804 210784 4631712    0    0     0     0 1291 1940  1  5 94  0  0
 1  0      0 9205804 210792 4631732    0    0     0    44 1355 2204  3  6 91  0  0
 0  0      0 9206056 210792 4631720    0    0     0     0 1147 2029  1  5 94  0  0
 2  0      0 9206040 210792 4631720    0    0     0     0 1329 2153  2  5 93  0  0
 0  0      0 9206120 210792 4631724    0    0     0   332 1814 3880  4  6 90  0  0
 3  0      0 9206120 210792 4631724    0    0     0     0 1206 1975  2  5 94  0  0
 1  0      0 9206120 210800 4631740    0    0     0    68 1773 3764  3  6 91  0  0
 0  0      0 9206248 210800 4633920    0    0     0     0 1314 2062  1  5 94  0  0
 0  0      0 9206248 210800 4633920    0    0     0     0 1062 1541  1  4 95  0  0
 0  0      0 9206580 210800 4633932    0    0     0     0 1604 3508  3  5 92  0  0
 0  0      0 10265732 210800 4634240    0    0     0     0 1905 4567  2  9 89  0  0
 1  0      0 10265732 210808 4634232    0    0     0    60  831 1364  1  2 97  0  0
MEDIA
NR:  105 CPU:  26.2427
