Countries;31/12/2019;01/01/2020;02/01/2020;03/01/2020;04/01/2020;05/01/2020;06/01/2020;07/01/2020;08/01/2020;09/01/2020;10/01/2020;11/01/2020;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020;26/01/2020;27/01/2020;28/01/2020;29/01/2020;30/01/2020;31/01/2020;01/02/2020;02/02/2020;03/02/2020;04/02/2020;05/02/2020;06/02/2020;07/02/2020;08/02/2020;09/02/2020;10/02/2020;11/02/2020;12/02/2020;13/02/2020;14/02/2020;15/02/2020;16/02/2020;17/02/2020;18/02/2020;19/02/2020;20/02/2020;21/02/2020;22/02/2020;23/02/2020;24/02/2020;25/02/2020;26/02/2020;27/02/2020;28/02/2020;29/02/2020;01/03/2020;02/03/2020;03/03/2020;04/03/2020;05/03/2020;06/03/2020;07/03/2020;08/03/2020;09/03/2020;10/03/2020;11/03/2020;12/03/2020;13/03/2020;14/03/2020;15/03/2020;16/03/2020;17/03/2020;18/03/2020;19/03/2020;20/03/2020;21/03/2020;22/03/2020;23/03/2020;24/03/2020;25/03/2020;26/03/2020;27/03/2020;28/03/2020;29/03/2020;30/03/2020;31/03/2020;01/04/2020;02/04/2020;03/04/2020;04/04/2020;05/04/2020;06/04/2020;07/04/2020;08/04/2020;09/04/2020;10/04/2020;11/04/2020;12/04/2020;13/04/2020;14/04/2020;15/04/2020;16/04/2020;17/04/2020;18/04/2020;19/04/2020;20/04/2020;21/04/2020;22/04/2020;23/04/2020;24/04/2020;25/04/2020;26/04/2020;27/04/2020;28/04/2020;29/04/2020;30/04/2020;01/05/2020;02/05/2020;03/05/2020;04/05/2020;05/05/2020;06/05/2020;07/05/2020;08/05/2020;09/05/2020;10/05/2020;11/05/2020;12/05/2020;13/05/2020;14/05/2020;15/05/2020;16/05/2020;17/05/2020;18/05/2020;19/05/2020;20/05/2020;21/05/2020;22/05/2020;23/05/2020;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;31/05/2020;01/06/2020;02/06/2020;03/06/2020;04/06/2020;05/06/2020;06/06/2020;07/06/2020;08/06/2020;09/06/2020;10/06/2020;11/06/2020;12/06/2020;13/06/2020;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;21/06/2020;22/06/2020;23/06/2020;24/06/2020;25/06/2020;26/06/2020;27/06/2020;28/06/2020;29/06/2020;30/06/2020;01/07/2020;02/07/2020;03/07/2020;04/07/2020;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020;12/07/2020;13/07/2020;14/07/2020;15/07/2020;16/07/2020;17/07/2020;18/07/2020;19/07/2020;20/07/2020;21/07/2020;22/07/2020;23/07/2020;24/07/2020;25/07/2020;26/07/2020;27/07/2020;28/07/2020;29/07/2020;30/07/2020;31/07/2020;01/08/2020;02/08/2020;03/08/2020;04/08/2020;05/08/2020;06/08/2020;07/08/2020;08/08/2020;09/08/2020;10/08/2020;11/08/2020;12/08/2020;13/08/2020;14/08/2020;15/08/2020;16/08/2020;17/08/2020;18/08/2020;19/08/2020;20/08/2020;21/08/2020;22/08/2020;23/08/2020;24/08/2020;25/08/2020;26/08/2020;27/08/2020;28/08/2020;29/08/2020;30/08/2020;31/08/2020;01/09/2020;02/09/2020;03/09/2020;04/09/2020;05/09/2020;06/09/2020;07/09/2020;08/09/2020;09/09/2020;10/09/2020;11/09/2020;12/09/2020;13/09/2020;14/09/2020;15/09/2020;16/09/2020;17/09/2020;18/09/2020;19/09/2020;20/09/2020;21/09/2020;22/09/2020;23/09/2020;24/09/2020;25/09/2020;26/09/2020;27/09/2020;28/09/2020;29/09/2020;30/09/2020;01/10/2020;02/10/2020;03/10/2020;04/10/2020;05/10/2020;06/10/2020;07/10/2020;08/10/2020;09/10/2020;10/10/2020;11/10/2020;12/10/2020;13/10/2020;14/10/2020;15/10/2020;16/10/2020;17/10/2020;18/10/2020;19/10/2020;20/10/2020;21/10/2020;22/10/2020;23/10/2020;24/10/2020;25/10/2020;26/10/2020;27/10/2020;28/10/2020;29/10/2020;30/10/2020;31/10/2020;01/11/2020;02/11/2020;03/11/2020;04/11/2020;05/11/2020;06/11/2020;07/11/2020;08/11/2020;09/11/2020;10/11/2020;11/11/2020;12/11/2020;13/11/2020
Afghanistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;3;6;5;1;0;0;2;0;10;6;2;33;0;16;15;8;27;25;26;43;0;35;29;38;30;56;61;37;34;52;58;49;70;10;51;63;88;35;61;84;105;70;112;68;172;124;122;222;164;134;235;190;330;168;171;215;255;369;285;280;259;113;1063;0;262;408;581;492;531;540;782;584;591;658;625;580;623;866;680;545;759;758;787;915;582;791;575;542;684;747;656;556;664;761;783;564;658;346;546;409;310;338;234;460;276;165;351;271;279;319;186;302;348;279;433;210;59;255;458;85;0;4;285;254;76;219;12;174;140;112;188;13;108;121;106;105;103;0;71;168;0;0;37;82;67;41;78;39;0;0;215;76;79;7;120;45;3;0;160;97;38;105;0;71;1;55;3;11;3;19;34;9;38;45;16;20;74;96;26;24;28;34;35;75;99;40;17;0;47;125;0;30;71;25;16;6;35;0;12;15;14;17;5;7;44;145;62;68;77;10;0;96;129;66;32;0;47;68;59;87;88;135;116;61;81;65;199;113;0;123;157;76;132;95;86;121;40;58;126;80;224;0;146;360
Albania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;1;12;10;5;4;9;4;4;11;0;6;13;11;23;23;28;12;11;15;11;20;16;18;27;29;28;16;6;17;9;7;17;13;21;8;19;24;21;9;14;22;25;25;29;15;34;14;10;14;16;7;9;7;6;8;17;12;10;8;6;12;4;4;4;18;18;17;13;2;1;15;5;12;8;9;6;25;21;26;23;23;15;6;21;20;13;15;20;14;17;36;42;44;31;48;57;69;82;50;66;50;53;36;68;52;67;78;77;61;72;64;69;45;82;90;67;74;71;74;68;82;90;93;83;117;96;85;99;55;102;82;81;119;68;108;104;67;126;117;117;108;92;79;120;123;101;130;139;127;135;124;136;125;140;141;154;146;143;120;119;155;158;155;152;156;152;178;154;168;156;112;84;101;133;93;122;116;123;135;153;151;147;151;156;161;164;168;167;152;144;132;125;153;159;150;131;121;134;124;108;106;132;127;131;157;159;152;149;144;158;162;169;167;165;168;171;182;203;257;289;273;281;295;301;297;302;306;302;299;288;284;311;275;319;241;327;321;381;396;421;489;495;501;525;563;507;0
Algeria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;2;7;5;0;0;3;0;0;0;5;1;11;11;10;2;12;18;12;37;62;29;34;38;65;42;45;57;73;132;131;139;185;80;69;103;45;104;94;95;64;89;69;87;90;108;150;117;94;89;93;99;97;120;129;126;135;132;199;158;148;141;179;174;190;159;185;187;189;165;168;176;186;189;187;192;198;182;176;165;186;190;195;193;197;194;160;140;137;133;127;119;113;0;205;104;115;104;111;117;102;105;109;112;109;112;116;121;117;119;127;140;149;156;172;197;240;283;305;298;336;365;385;413;430;441;463;475;469;460;434;470;483;494;527;554;585;593;601;535;607;587;594;612;675;605;593;616;642;614;602;563;556;515;507;532;551;571;529;538;521;498;492;495;488;477;469;450;442;419;403;411;409;401;392;398;370;391;397;387;379;364;348;339;325;311;304;298;293;289;285;278;272;264;255;247;242;238;232;228;219;210;203;197;191;186;179;175;160;153;146;155;162;160;157;148;141;134;129;121;138;146;136;132;153;174;185;193;211;215;199;214;223;252;266;273;250;263;276;287;320;306;319;291;330;302;405;548;642;631;581;670;642;753;811;0
Andorra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;3;9;0;39;22;0;13;25;20;31;24;36;43;41;26;36;6;14;38;11;27;35;25;19;19;19;18;21;16;8;13;14;9;14;8;9;4;0;6;1;7;2;7;3;0;0;2;1;1;1;2;1;0;1;0;2;1;1;2;2;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;79;7;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;15;3;0;0;4;0;5;0;0;8;0;10;0;11;4;3;0;0;12;2;0;5;11;1;0;7;0;14;4;8;0;0;16;0;19;0;21;0;0;15;0;38;0;26;0;0;52;8;15;0;16;0;0;46;0;40;0;43;0;0;94;0;0;45;81;0;0;117;0;72;0;83;0;0;130;0;84;0;60;0;0;260;0;198;0;128;0;0;299;0;195;0;187;0;0;246;0;188;0;227;0;0;287;85;107;50;98;91;69;63;22;135;90;0;184;64;54;40;90;0
Angola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;3;0;0;1;0;0;2;4;2;1;2;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;1;1;0;0;0;2;6;0;0;1;0;0;7;0;2;0;0;0;3;0;0;0;0;2;2;6;2;0;9;0;2;0;2;4;7;2;0;0;0;0;0;0;5;1;4;17;5;12;8;2;2;0;13;0;11;6;4;7;3;3;8;15;32;23;9;8;7;24;13;18;0;7;0;33;10;62;25;23;0;19;51;31;31;49;18;44;0;30;33;39;29;50;2;18;50;78;31;5;34;16;0;180;51;88;0;89;100;7;56;27;53;37;27;27;60;0;49;29;24;103;51;61;49;83;56;80;73;0;30;75;48;28;71;59;30;16;52;59;125;62;56;53;51;130;180;40;112;90;126;119;0;127;112;115;82;125;108;67;0;142;97;159;0;355;0;138;95;73;215;120;122;192;166;250;126;240;160;207;220;289;244;247;197;355;263;227;203;195;289;247;230;193;349;236;289;121;112;98;247;136;0
Anguilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua_and_Barbuda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;6;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;1;0;0;2;0;0;0;2;0;3;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;4;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;3;0;0;0;0;5;0;1;0;0;1;0;3;0;0;0;0;0;1;0;0;7;0;0;0;3;0;0;2;0;0;0;0;0;3;1;0;0;2;0;0;0;1;0;0;0;0;0
Argentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;6;1;3;0;7;0;12;3;11;11;9;14;18;31;30;67;41;35;86;115;87;101;55;75;146;0;167;0;132;186;103;74;87;80;99;81;162;66;69;160;0;128;98;170;102;90;112;144;147;0;344;0;223;124;158;143;104;149;102;104;133;188;163;240;165;13;245;529;316;255;345;326;0;566;438;474;648;718;704;723;552;600;705;769;717;795;637;564;904;949;0;1769;983;774;826;1141;1239;1373;1391;1531;1282;1208;1374;1393;0;4018;1634;1581;2146;0;4920;2606;0;5287;0;4524;2262;2667;2744;2845;0;2590;2439;2632;2979;3604;3663;3367;3449;2657;3099;3645;4250;3623;4518;3223;4231;4019;5344;5782;6127;5493;9006;0;4890;5939;5641;6377;5929;5241;5376;4824;6792;7147;7513;7482;6134;4688;7369;7043;7663;7498;6365;6663;5469;4557;6840;6693;8225;8159;7759;5352;8713;8771;10550;10104;11730;9217;7187;9309;10504;10933;12026;10684;9924;6986;9215;12027;12259;11905;11505;10778;9056;9908;11893;11674;12701;11945;9276;17213;12027;12638;13467;12956;11249;8841;11807;13477;14392;14001;14687;11129;7668;11242;14740;16447;15454;15099;12428;10310;9524;13305;14932;17096;16546;13510;10561;12982;16337;18326;16325;15718;11968;9253;11712;14308;13924;12691;13955;9745;6609;9598;12145;10652;11100;11786;8037;5331;8317;11976;10880;0
Armenia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;2;7;7;8;17;33;32;26;24;30;4;41;30;25;39;43;52;58;50;39;92;73;34;52;11;20;28;40;16;30;46;26;28;44;48;42;47;43;48;62;72;50;73;81;69;62;59;65;134;82;125;113;121;112;163;102;145;146;138;79;146;180;142;184;239;189;351;218;230;335;322;374;359;452;289;372;442;460;251;355;210;517;515;697;596;547;766;195;350;428;566;612;723;663;397;425;544;665;459;551;560;320;418;711;771;759;662;736;482;415;523;593;662;580;706;330;349;535;526;557;489;577;182;339;515;554;442;461;415;104;273;439;469;451;383;321;73;239;308;259;354;291;209;52;0;196;288;233;66;300;225;23;160;201;229;276;196;168;38;145;210;263;158;139;176;33;111;131;203;181;175;124;31;97;197;196;190;188;134;62;108;199;174;177;172;187;107;150;257;295;239;244;277;121;115;210;374;392;429;328;174;327;458;491;532;543;571;181;406;672;718;614;649;715;1115;1058;0;1371;1465;1540;1694;766;1234;1836;2306;2474;4527;973;1600;2241;2383;2398;2381;2441;1194;1328;2374;2413;2210;2476;2175;1042;1221;2000;1993;0
Aruba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;8;5;2;9;0;0;22;0;5;0;5;2;2;0;7;3;3;5;4;6;0;0;0;1;2;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;5;2;2;0;0;1;1;0;0;0;0;1;1;0;1;2;8;39;92;133;113;54;67;87;81;96;79;75;54;19;0;175;91;77;70;34;60;42;90;88;58;69;22;9;98;107;81;66;70;21;33;107;141;89;79;96;52;14;92;176;54;78;0;91;36;78;56;35;43;33;12;28;62;29;35;40;36;5;0;15;14;25;34;21;6;3;32;26;30;4;15;18;12;21;14;20;12;9;10;0;0;17;18;17;41;6;5;14;15;11;14;11;11;6;16;9;0
